"DateTime","US Dollars ($)"
"2015-08-18 04:00:00",2485152967
"2015-08-19 04:00:00",2389133986
"2015-08-20 04:00:00",2552628645
"2015-08-21 04:00:00",3018596564
"2015-08-22 04:00:00",3018596564
"2015-08-23 04:00:00",3018596564
"2015-08-24 04:00:00",3135744322
"2015-08-25 04:00:00",3179681780
"2015-08-26 04:00:00",3088604146
"2015-08-27 04:00:00",3429632839
"2015-08-28 04:00:00",3180809876
"2015-08-29 04:00:00",3180809876
"2015-08-30 04:00:00",3180809876
"2015-08-31 04:00:00",3112005265
"2015-09-01 04:00:00",2971082223
"2015-09-02 04:00:00",2721244265
"2015-09-03 04:00:00",2860899173
"2015-09-04 04:00:00",3025464352
"2015-09-05 04:00:00",3025464352
"2015-09-06 04:00:00",3025464352
"2015-09-07 04:00:00",3025464352
"2015-09-08 04:00:00",3111833094
"2015-09-09 04:00:00",2853668301
"2015-09-10 04:00:00",2975544124
"2015-09-11 04:00:00",2868324143
"2015-09-12 04:00:00",2868324143
"2015-09-13 04:00:00",2868324143
"2015-09-14 04:00:00",2975105729
"2015-09-15 04:00:00",1993044791
"2015-09-16 04:00:00",2819500233
"2015-09-17 04:00:00",3040280118
"2015-09-18 04:00:00",3158760971
"2015-09-19 04:00:00",3158760971
"2015-09-20 04:00:00",3158760971
"2015-09-21 04:00:00",3317554602
"2015-09-22 04:00:00",3914608722
"2015-09-23 04:00:00",3793812037
"2015-09-24 04:00:00",3828167333
"2015-09-25 04:00:00",3831251756
"2015-09-26 04:00:00",3831251756
"2015-09-27 04:00:00",3831251756
"2015-09-28 04:00:00",3894371258
"2015-09-29 04:00:00",3935850901
"2015-09-30 04:00:00",3717162706
"2015-10-01 04:00:00",3802644608
"2015-10-02 04:00:00",3790756244
"2015-10-03 04:00:00",3790756244
"2015-10-04 04:00:00",3790756244
"2015-10-05 04:00:00",3862466971
"2015-10-06 04:00:00",3984051279
"2015-10-07 04:00:00",3884532750
"2015-10-08 04:00:00",4056115784
"2015-10-09 04:00:00",4117042003
"2015-10-10 04:00:00",4117042003
"2015-10-11 04:00:00",4117042003
"2015-10-12 04:00:00",4117042003
"2015-10-13 04:00:00",3922817237
"2015-10-14 04:00:00",3867908012
"2015-10-15 04:00:00",2930018462
"2015-10-16 04:00:00",3107834821
"2015-10-17 04:00:00",3107834821
"2015-10-18 04:00:00",3107834821
"2015-10-19 04:00:00",3814618308
"2015-10-20 04:00:00",3860279795
"2015-10-21 04:00:00",4293100606
"2015-10-22 04:00:00",4530529608
"2015-10-23 04:00:00",4548357420
"2015-10-24 04:00:00",4548357420
"2015-10-25 04:00:00",4548357420
"2015-10-26 04:00:00",4571024126
"2015-10-27 04:00:00",4665596066
"2015-10-28 04:00:00",4542744782
"2015-10-29 04:00:00",4603216140
"2015-10-30 04:00:00",4523344107
"2015-10-31 04:00:00",4523344107
"2015-11-01 04:00:00",4523344107
"2015-11-02 05:00:00",4550087969
"2015-11-03 05:00:00",4584265226
"2015-11-04 05:00:00",4311800704
"2015-11-05 05:00:00",4535692679
"2015-11-06 05:00:00",4527692088
"2015-11-07 05:00:00",4527692088
"2015-11-08 05:00:00",4527692088
"2015-11-09 05:00:00",4708248177
"2015-11-10 05:00:00",4620063408
"2015-11-11 05:00:00",4620063408
"2015-11-12 05:00:00",4615093008
"2015-11-13 05:00:00",3326112836
"2015-11-14 05:00:00",3326112836
"2015-11-15 05:00:00",3326112836
"2015-11-16 05:00:00",3489290385
"2015-11-17 05:00:00",3595044648
"2015-11-18 05:00:00",4226987225
"2015-11-19 05:00:00",4454517578
"2015-11-20 05:00:00",4407705782
"2015-11-21 05:00:00",4407705782
"2015-11-22 05:00:00",4407705782
"2015-11-23 05:00:00",4914077405
"2015-11-24 05:00:00",5031981851
"2015-11-25 05:00:00",4838439451
"2015-11-26 05:00:00",4838439451
"2015-11-27 05:00:00",4990350369
"2015-11-28 05:00:00",4990350369
"2015-11-29 05:00:00",4990350369
"2015-11-30 05:00:00",4822204229
"2015-12-01 05:00:00",5023263490
"2015-12-02 05:00:00",4876172702
"2015-12-03 05:00:00",4996516312
"2015-12-04 05:00:00",4975797010
"2015-12-05 05:00:00",4975797010
"2015-12-06 05:00:00",4975797010
"2015-12-07 05:00:00",5127628074
"2015-12-08 05:00:00",5154059570
"2015-12-09 05:00:00",4851972533
"2015-12-10 05:00:00",4924519829
"2015-12-11 05:00:00",4921152127
"2015-12-12 05:00:00",4921152127
"2015-12-13 05:00:00",4921152127
"2015-12-14 05:00:00",5048088882
"2015-12-15 05:00:00",4001157036
"2015-12-16 05:00:00",4945486875
